SimbadName,RA,DEC
SMPSMC17,12.98517,-71.41225
SMPSMC20,14.02233,-70.32383
SMPSMC22,14.65212,-71.59694
SMPSMC25,14.91883,-71.63753
SMPSMC34,18.04542,-71.44739
SMPSMC5,10.34029,-72.75467
SMPSMC2,8.16179,-71.69986
SMPSMC10,11.74862,-72.82111
SMPSMC8,10.85554,-72.63867
SMPSMC21,14.12871,-72.45044
SMPSMC16,12.86312,-72.43658
SMPSMC24,14.817,-72.03325
MGPNSMC9,14.67887,-72.45467
SMPSMC1,5.99433,-73.63444
MGPNSMC6,11.10667,-73.86083
SMPSMC6,10.36583,-73.78508
SMPSMC7,10.61867,-73.34831
SMPSMC3,8.59137,-73.22264
MGPNSMC2,7.0425,-72.97889
SMPSMC15,12.78071,-73.96047
SMPSMC12,12.33775,-73.88294
SMPSMC13,12.46533,-73.73936
SMPSMC14,12.64608,-73.71608
SMPSMC32,13.42837,-73.61883
SMPSMC18,12.99292,-73.34217
SMPSMC23,14.67642,-72.95
SMPSMC19,13.29646,-72.75211
SMPSMC26,16.07475,-73.36425
SMPSMC28,21.04921,-74.04239
SMPSMC27,20.29479,-73.243
